id,posto_id,tipo,valor,created_at,updated_at
281,13,GASOLINA COMUM,"R$ 4,20",2020-05-13 12:17:23+00,2020-07-13 00:11:52+00
2,2,GASOLINA ADITIVADA,"R$ 3,99",2020-05-15 18:06:14+00,2020-05-23 18:04:56+00
398,97,OLEO DIESEL B S10 ADIT ONU 1202 III CL3 GR,"R$ 3,26",2020-05-21 18:31:00+00,2020-06-27 10:16:51+00
29,29,GASOLINA ADITIVADA,"R$ 4,20",2020-05-13 12:06:15+00,2020-07-13 00:11:52+00
46,46,GASOLINA ADITIVADA,"R$ 4,23",2020-05-14 21:06:15+00,2020-07-13 00:11:53+00
392,93,GASOLINA COMUM,"R$ 4,24",2020-05-21 18:00:32+00,2020-06-15 00:12:04+00
852,260,DIESEL S500 TIPO B BICO,"R$ 3,10",2020-06-04 19:28:34+00,2020-06-27 05:36:20+00
666,105,ETANOL,"R$ 3,26",2020-05-28 13:20:51+00,2020-06-19 10:46:47+00
383,91,GASOLINA COMUM,"R$ 4,00",2020-05-21 15:00:32+00,2020-06-20 00:11:54+00
354,64,GASOLINA COMUM,"R$ 4,23",2020-05-19 15:38:33+00,2020-07-13 00:11:53+00
654,111,ETANOL,"R$ 3,26",2020-05-28 13:20:51+00,2020-06-19 10:46:47+00
888,282,DIESEL COMUM,"R$ 3,20",2020-06-04 12:05:34+00,2020-07-08 03:05:36+00
760,32,DIESEL S 5 0,"R$ 2,91",2020-06-02 00:32:00+00,2020-06-02 00:32:00+00
869,272,DIESEL S10 ADITIVADO,"R$ 3,23",2020-06-04 12:05:33+00,2020-07-08 03:05:36+00
179,32,DIESEL S 5 0 0 BICO,"R$ 3,19",2020-05-14 06:07:14+00,2020-07-13 00:31:50+00
49,49,GASOLINA ADITIVADA,"R$ 4,23",2020-05-15 09:06:15+00,2020-07-08 00:11:56+00
603,200,GASOLINA COMUM,"R$ 3,96",2020-05-28 00:11:56+00,2020-05-28 00:11:56+00
887,281,DIESEL S 1 0 BICO,"R$ 3,29",2020-06-04 12:05:34+00,2020-07-08 03:05:37+00
195,18,DIESEL S10 BICO,"R$ 3,24",2020-05-13 12:07:14+00,2020-07-13 00:31:50+00
604,200,GASOLINA ADITIVADA,"R$ 3,96",2020-05-28 00:11:56+00,2020-05-28 00:11:56+00
384,80,GASOLINA ADITIVADA,"R$ 3,60",2020-05-21 18:00:32+00,2020-05-21 18:00:32+00
389,79,GASOLINA ADITIVADA,"R$ 3,70",2020-05-21 18:00:32+00,2020-05-21 18:00:32+00
390,91,GASOLINA ADITIVADA,"R$ 3,75",2020-05-21 18:00:32+00,2020-05-21 18:00:32+00
391,90,GASOLINA ADITIVADA,"R$ 3,84",2020-05-21 18:00:32+00,2020-05-21 18:00:32+00
637,125,ETANOL,"R$ 3,26",2020-05-28 13:20:51+00,2020-06-19 10:46:47+00
657,155,ETANOL,"R$ 3,26",2020-05-28 13:20:51+00,2020-06-19 10:46:48+00
853,261,OLEO DISEL B S10 BICO,"R$ 3,20",2020-06-04 19:28:34+00,2020-06-27 05:36:20+00
860,129,ETANOL,"R$ 3,26",2020-06-04 21:46:51+00,2020-06-19 10:46:48+00
204,20,DIESEL S10 BICO,"R$ 3,24",2020-05-14 00:07:14+00,2020-07-13 00:31:50+00
13,13,GASOLINA ADITIVADA,"R$ 4,26",2020-05-15 18:06:15+00,2020-06-12 00:12:06+00
605,200,DIESEL BS,"R$ 2,78",2020-05-28 00:32:05+00,2020-05-28 00:32:05+00
1127,317,ETANOL,"R$ 3,29",2020-06-19 10:46:48+00,2020-06-19 10:46:48+00
224,71,DIESEL S10 BICO,"R$ 3,24",2020-05-13 21:07:15+00,2020-07-12 00:31:48+00
35,35,GASOLINA ADITIVADA,"R$ 4,23",2020-05-15 15:06:15+00,2020-07-05 00:12:00+00
850,256,DIESEL B S10 COMUM,"R$ 3,25",2020-06-04 19:28:34+00,2020-06-27 05:36:20+00
