id,nome,endereco,contato,status,cidade,latitude,longitude,url,bandeira,created_at,updated_at
34,POSTO PORTAL DO SERTAO,"RODOVIA BR 324 S/N CIS 44055770, FEIRA DE SANTANA",756143344,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2784753,-38.9273868,https://goo.gl/maps/bfEve4rrn5GFjGkw8,shell,2020-05-15 18:06:15+00,2020-05-18 18:30:44+00
33,BRAX-FEIRA,"RODOVIA BR 324 KM 99 S/N HUMILDES (FEIRA DE SANTANA) 44135000, FEIRA DE SANTANA",7532216181,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,,,,petrobras,2020-05-15 18:06:15+00,2020-05-18 18:28:17+00
35,POSTO TREVO,"RUA VOLUNTARIOS DA PATRIA 402 BARAUNA 44020055, FEIRA DE SANTANA",7530225608,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2443209,-38.9713259,https://goo.gl/maps/pumToqei31aGUawM7,petrobras,2020-05-15 18:06:15+00,2020-05-18 18:32:12+00
36,POSTO DA PAPA,"RUA PAPA JOAO XXIII 1990 OLHOS D ÁGUA 44003465, FEIRA DE SANTANA",7599820418,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2753653,-38.9593284,https://goo.gl/maps/ibnvnAmuo4BfdMvM7,outros,2020-05-15 18:06:15+00,2020-05-18 18:35:07+00
37,POSTO JOSE FALCAO,"AVENIDA JOSE FALCAO DA SILVA S/N BARAÚNA 44020122, FEIRA DE SANTANA",7588276163,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2435246,-38.9659289,https://goo.gl/maps/gP7XJQPRfa6RywEYA,shell,2020-05-15 18:06:15+00,2020-05-18 18:36:13+00
38,POSTO SHALOM,"AVENIDA MARIA QUITERIA 694 EUCALIPTO 44075970, FEIRA DE SANTANA",7532216388,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2628381,-38.9552717,https://goo.gl/maps/b85FLFAZFek1sv5d9,shell,2020-05-15 18:06:15+00,2020-05-18 18:39:59+00
39,POSTO TREVO,"AVENIDA TRANSNORDESTINA 2.300 PARQUE IPE 44054008, FEIRA DE SANTANA",7532242436,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2231878,-38.964189,https://goo.gl/maps/qnZo1NErTLNWgEsh9,petrobras,2020-05-15 18:06:15+00,2020-05-18 18:45:03+00
42,POSTO CONCEICAO,"RUA CALAMAR 743 CONCEICAO 44065706, FEIRA DE SANTANA",7536263639,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2345836,-38.9362782,https://goo.gl/maps/W6gtzuBQpc6391wx5,shell,2020-05-15 18:06:15+00,2020-05-18 18:53:24+00
43,POSTO SENADOR,"RUA SENADOR QUINTINO 1125 OLHOS D ÁGUA 44003541, FEIRA DE SANTANA",7532433792,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2694536,-38.9602791,https://goo.gl/maps/ZGTFstuS6wyjT5Gg6,outros,2020-05-15 18:06:15+00,2020-05-18 18:55:05+00
44,LM POSTO DE COMBUSTIVEL,"RUA AMARALINA SN PAMPALONA 44031645, FEIRA DE SANTANA",7534852600,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2226187,-38.9843022,https://goo.gl/maps/LqisWrMLz922n16G7,outros,2020-05-15 18:06:15+00,2020-05-18 19:05:16+00
48,POSTO KALILANDIA,"RUA GERMINIANO COSTA 490 CENTRO 44001120, FEIRA DE SANTANA",7132715277,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2506709,-38.9614181,https://goo.gl/maps/gAxjvRxG1C8BEnYC6,shell,2020-05-15 18:06:15+00,2020-05-18 19:12:22+00
49,POSTO ORION,"RUA COMENDADOR GOMES 90 TOMBA 44091238, FEIRA DE SANTANA",7532231717,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2948084,-38.9561529,https://goo.gl/maps/ekTkDpoKTUkrMHYM9,outros,2020-05-15 18:06:15+00,2020-05-18 19:14:38+00
50,POSTO SHANGAY,"RODOVIA BR 324 S/N CENTRO 44001970, FEIRA DE SANTANA",7536147722,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.3147007,-38.8795371,https://goo.gl/maps/ekTkDpoKTUkrMHYM9,petrobras,2020-05-15 18:06:15+00,2020-05-18 19:15:46+00
51,POSTO PARADA DO ENGENHO,"RODOVIA BR 324 KM 600 2780 CENTRO INDUSTRIAL DE ARATU 43700971, SIMÕES FILHO",,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.773097,-38.4200441,https://goo.gl/maps/EEWniWDH9F1cVNPY7,ipiranga,2020-05-15 18:06:15+00,2020-05-18 19:17:28+00
52,Posto Guimarães,"AVENIDA DEPUTADO FRANCISCO JOSE PINTO DOS SANTOS 942 PEDRA DO DESCANSO 44007190, FEIRA DE SANTANA",7530302549,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2652993,-38.9793403,https://goo.gl/maps/miLm8VQbkzo9wYf5A,outros,2020-05-15 18:06:15+00,2020-05-18 19:20:17+00
